住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県高砂市県営伊保団地,,,211
兵庫県高砂市120,,,196
兵庫県高砂市鍛治屋町,,,18
兵庫県高砂市17,,,16
兵庫県高砂市扇町,,,235
兵庫県高砂市234,,,244
兵庫県高砂市324,,,336
兵庫県高砂市清水町,,,47
兵庫県高砂市35,,,49
兵庫県高砂市南栄町,,,116
兵庫県高砂市103,,,128
兵庫県高砂市320,,,324
兵庫県高砂市高瀬町,,,36
兵庫県高砂市37,,,41
兵庫県高砂市中町,,,202
兵庫県高砂市205,,,224
兵庫県高砂市次郎助町,,,30
兵庫県高砂市21,,,34
兵庫県高砂市170,,,191
兵庫県高砂市藍屋町,,,120
兵庫県高砂市99,,,95
兵庫県高砂市142,,,112
兵庫県高砂市53,,,60
兵庫県高砂市中筋,,,73
兵庫県高砂市82,,,93
兵庫県高砂市17,,,18
兵庫県高砂市241,,,239
兵庫県高砂市257,,,286
兵庫県高砂市137,,,173
兵庫県高砂市61,,,77
兵庫県高砂市260,,,280
兵庫県高砂市鍵町,,,118
兵庫県高砂市96,,,112
兵庫県高砂市末広町,,,76
兵庫県高砂市85,,,89
兵庫県高砂市41,,,41
兵庫県高砂市栄町,,,130
兵庫県高砂市153,,,172
兵庫県高砂市230,,,293
兵庫県高砂市松波町,,,291
兵庫県高砂市287,,,208
兵庫県高砂市306,,,291
兵庫県高砂市67,,,101
兵庫県高砂市伊保崎南,,,489
兵庫県高砂市480,,,526
兵庫県高砂市20,,,20
兵庫県高砂市県営松波団地,,,87
兵庫県高砂市60,,,111
兵庫県高砂市高須,,,139
兵庫県高砂市154,,,137
兵庫県高砂市23,,,15
兵庫県高砂市木曽町,,,179
兵庫県高砂市160,,,110
兵庫県高砂市時光寺町,,,589
兵庫県高砂市539,,,615
兵庫県高砂市沖浜町,,,189
兵庫県高砂市165,,,24
兵庫県高砂市342,,,363
兵庫県高砂市県営時光寺団地,,,150
兵庫県高砂市90,,,158
兵庫県高砂市100,,,97
兵庫県高砂市231,,,240
兵庫県高砂市春日野町,,,409
兵庫県高砂市381,,,401
兵庫県高砂市243,,,229
兵庫県高砂市456,,,502
兵庫県高砂市県営春日野住宅,,,156
兵庫県高砂市104,,,175
兵庫県高砂市10,,,10
兵庫県高砂市452,,,313
兵庫県高砂市344,,,339
兵庫県高砂市233,,,198
兵庫県高砂市101,,,122
兵庫県高砂市262,,,192
兵庫県高砂市367,,,367
兵庫県高砂市西之町,,,825
兵庫県高砂市866,,,868
兵庫県高砂市257,,,279
兵庫県高砂市7,,,14
兵庫県高砂市米田新,,,441
兵庫県高砂市467,,,516
兵庫県高砂市古新,,,221
兵庫県高砂市256,,,272
兵庫県高砂市神爪,,,60
兵庫県高砂市69,,,69
兵庫県高砂市米田団地,,,530
兵庫県高砂市337,,,497
兵庫県高砂市142,,,179
兵庫県高砂市324,,,350
兵庫県高砂市70,,,59
兵庫県高砂市252,,,274
兵庫県高砂市409,,,454
兵庫県高砂市58,,,67
兵庫県高砂市北池,,,635
兵庫県高砂市712,,,711
兵庫県高砂市南池,,,382
兵庫県高砂市394,,,425
兵庫県高砂市生石,,,154
兵庫県高砂市174,,,193
兵庫県高砂市北山,,,104
兵庫県高砂市106,,,116
兵庫県高砂市長尾,,,112
兵庫県高砂市115,,,130
兵庫県高砂市地徳,,,231
兵庫県高砂市270,,,277
兵庫県高砂市393,,,410
兵庫県高砂市金ケ田町,,,214
兵庫県高砂市251,,,247
兵庫県高砂市西浜,,,637
兵庫県高砂市595,,,691
兵庫県高砂市北脇,,,893
兵庫県高砂市牛谷,,,735
兵庫県高砂市726,,,786
